Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Pinellas County, FL",0.40487,10.8,0.4,3.3,0.1,2.0,8.6,75.8
"Flagler County, FL",0.404212,11.4,0.4,2.3,0.1,1.9,9.4,75.7
"Suwannee County, FL",0.403443,13.4,0.7,0.7,0.1,1.4,9.1,75.5
"Bedford city, VA",0.403331,20.1,0.3,0.8,0.0,2.1,2.7,74.5
"St. Mary's County, MD",0.402776,14.3,0.4,2.8,0.1,3.0,4.5,75.7
"Lowndes County, AL",0.401937,73.1,0.2,0.3,0.0,0.8,1.1,25.2
"Scotts Bluff County, NE",0.401652,0.8,2.9,0.7,0.1,1.4,22.6,73.9
"Marshall County, IA",0.401517,1.9,0.8,2.5,0.2,1.7,19.4,74.8
"Johnson County, TX",0.401421,3.1,1.0,0.8,0.5,1.7,19.4,74.8
"Schenectady County, NY",0.401417,11.1,0.6,4.3,0.2,3.4,6.4,76.1
"Berrien County, MI",0.401358,15.4,0.6,1.8,0.1,2.3,5.0,75.6
"Forest County, PA",0.401317,18.9,0.3,0.2,0.0,0.9,5.8,74.8
"Monmouth County, NJ",0.40128,7.6,0.3,5.4,0.0,1.7,10.3,76.1
"Humboldt County, CA",0.400875,1.3,6.2,2.5,0.3,5.3,10.5,76.2
"Kay County, OK",0.400622,2.2,10.3,0.6,0.1,5.2,7.0,76.2
"Beaver County, OK",0.39999,1.0,1.9,0.3,0.0,2.4,22.0,74.2
"Berks County, PA",0.399805,6.5,0.7,1.6,0.2,2.0,18.1,75.0
"Pittsylvania County, VA",0.399682,21.8,0.3,0.4,0.0,1.2,2.4,74.3
"Crockett County, TN",0.399306,13.5,0.5,0.3,0.0,1.9,9.5,75.7
"Bradford County, FL",0.398624,19.3,0.4,0.5,0.1,1.7,3.6,75.0
"Lamar County, MS",0.398006,20.4,0.3,1.2,0.1,1.2,2.4,74.8
"Boone County, IL",0.397937,2.6,0.6,1.4,0.1,2.1,20.3,74.8
"Sumter County, AL",0.397632,73.5,0.1,0.4,0.0,0.5,1.0,24.9
"Frederick County, MD",0.397456,9.1,0.5,4.4,0.1,2.6,8.0,76.5
"Salem County, NJ",0.397373,14.7,0.5,1.0,0.0,2.0,7.7,75.8
"Randolph County, AL",0.39737,20.1,0.5,0.3,0.1,1.3,3.2,74.9
MICHIGAN,0.396959,14.3,0.7,2.7,0.0,2.2,4.7,76.1
"Burnet County, TX",0.396877,2.2,1.1,0.6,0.1,1.3,21.4,74.6
"Randall County, TX",0.396495,3.0,0.9,1.7,0.1,1.6,18.7,75.3
"Lawrence County, AL",0.396034,11.4,5.8,0.2,0.0,4.4,2.1,76.5
"Brevard County, FL",0.395788,10.6,0.5,2.3,0.1,2.5,9.0,76.4
"Hardin County, KY",0.395103,12.8,0.5,2.2,0.4,3.4,5.6,76.4
"Catron County, NM",0.395002,0.6,3.3,0.2,0.0,2.7,19.4,75.2
"James City County, VA",0.394935,13.7,0.4,2.5,0.1,2.6,5.3,76.3
"Southeast Fairbanks Census Area, AK",0.394359,1.5,11.7,1.2,0.5,4.9,4.9,76.6
"Lexington County, SC",0.394225,15.1,0.5,1.7,0.1,1.7,5.7,76.1
"Bibb County, AL",0.3941,22.1,0.4,0.2,0.1,0.9,2.1,74.6
"Beckham County, OK",0.393611,4.5,3.3,0.9,0.0,2.7,13.7,76.4
"New London County, CT",0.393122,6.8,1.1,4.4,0.1,3.4,9.6,76.8
"Skagit County, WA",0.392359,0.9,2.7,2.1,0.3,2.9,17.6,75.8
"Hart County, GA",0.392314,18.6,0.2,1.0,0.0,1.5,3.5,75.6
"Thurston County, WA",0.391913,3.3,1.7,5.5,0.9,5.1,8.1,77.1
"Woodbury County, IA",0.391637,2.7,2.6,2.5,0.2,2.7,14.8,76.4
"Humphreys County, MS",0.391594,74.7,0.1,0.3,0.1,0.9,2.4,22.3
"Rankin County, MS",0.391355,19.8,0.2,1.2,0.1,1.0,2.6,75.4
"Wasco County, OR",0.391352,0.6,4.4,0.9,0.7,2.3,16.4,76.1
"Elkhart County, IN",0.391267,6.1,0.6,1.1,0.1,2.2,14.9,76.3
"Greer County, OK",0.391145,7.4,3.3,0.2,0.1,3.5,10.6,76.8
"Kenedy County, TX",0.390945,4.1,1.5,0.5,0.0,0.2,75.2,20.4
"Tunica County, MS",0.390752,75.1,0.2,0.8,0.1,0.9,2.4,21.1
"Foard County, TX",0.389537,4.9,0.4,0.7,0.0,1.1,17.4,76.0
"Smith County, MS",0.389503,23.5,0.1,0.1,0.0,0.7,1.4,74.5
"Indian River County, FL",0.388965,9.3,0.4,1.4,0.0,1.4,11.7,76.7
"Autauga County, AL",0.388898,18.4,0.5,1.1,0.1,1.7,2.7,75.9
"Amherst County, VA",0.388727,18.9,0.9,0.5,0.0,2.1,2.1,75.8
"Oglethorpe County, GA",0.387933,17.6,0.3,0.6,0.1,1.8,4.0,76.1
KANSAS,0.387568,6.2,1.2,2.7,0.1,2.7,11.2,77.1
"King William County, VA",0.387107,17.6,1.4,0.8,0.0,2.2,2.3,76.2
"Kendall County, TX",0.386932,1.0,0.7,1.0,0.1,1.5,21.7,75.2
"Yell County, AR",0.386886,1.9,1.0,1.6,0.1,1.4,19.4,75.8
"Catawba County, NC",0.386788,8.8,0.5,4.0,0.1,1.7,8.7,77.2
"Garvin County, OK",0.386772,2.7,8.4,0.5,0.1,5.2,7.2,77.3
"Morgan County, AL",0.386647,12.4,1.1,0.7,0.1,1.9,7.8,76.9
"Leon County, TX",0.386204,7.5,0.7,0.8,0.0,1.3,14.0,76.7
"Iredell County, NC",0.386177,12.2,0.6,2.3,0.1,1.7,7.2,77.0
"Lyon County, NV",0.386012,1.3,3.2,1.5,0.3,3.4,15.7,76.6
"Erie County, NY",0.385703,13.9,0.7,2.9,0.0,1.8,4.9,76.9
"Watonwan County, MN",0.385675,1.5,1.2,1.2,0.1,0.9,22.3,75.1
"New Hanover County, NC",0.385173,14.6,0.6,1.5,0.1,2.0,5.5,76.8
"Coahoma County, MS",0.384641,75.1,0.1,0.6,0.0,0.7,1.4,22.6
"Cass County, TX",0.383902,17.4,0.6,0.4,0.0,1.5,4.3,76.4
"Creek County, OK",0.38379,2.4,10.4,0.4,0.1,6.6,3.7,77.4
"Colonial Heights city, VA",0.383305,13.0,0.5,3.3,0.2,2.2,4.7,77.2
"Palo Pinto County, TX",0.383081,2.4,0.9,0.7,0.1,1.4,19.6,76.0
"Grayson County, TX",0.382844,6.1,1.8,1.1,0.1,2.4,12.2,77.3
"Kenosha County, WI",0.382821,7.2,0.7,1.6,0.1,2.4,12.3,77.2
"Lafourche Parish, LA",0.38278,13.5,2.9,0.9,0.1,1.8,4.2,77.2
"Chouteau County, MT",0.382516,0.2,20.9,0.5,0.1,1.8,2.0,75.7
"Mason County, TX",0.382424,1.0,0.5,0.2,0.2,0.9,23.1,75.1
"Tipton County, TN",0.381897,18.7,0.5,0.6,0.2,1.8,2.4,76.3
"McKinley County, NM",0.381879,0.9,76.7,0.9,0.1,2.5,13.8,10.0
"Muskegon County, MI",0.381813,14.2,1.0,0.7,0.0,2.7,5.2,77.1
"Coke County, TX",0.381524,1.1,2.1,0.3,0.0,1.2,21.5,75.6
"Horry County, SC",0.381018,13.7,0.6,1.2,0.2,1.8,6.1,77.2
"Erath County, TX",0.380883,1.6,1.4,0.8,0.1,1.4,20.2,76.0
"Riley County, KS",0.380696,6.9,0.7,4.4,0.3,3.2,7.9,77.8
OREGON,0.3806,2.0,1.8,4.1,0.4,3.5,12.3,77.5
"Moore County, NC",0.380285,13.3,1.0,1.0,0.2,1.8,6.3,77.3
"Logan County, OK",0.380116,9.2,3.5,0.6,0.1,4.3,5.5,77.8
"Montgomery County, PA",0.380006,9.3,0.2,7.1,0.1,1.9,4.7,77.7
"Garfield County, OK",0.379919,3.3,2.9,1.3,1.9,3.9,10.4,77.8
"Payne County, OK",0.379474,3.9,5.2,4.1,0.1,5.3,4.3,78.1
"Kitsap County, WA",0.379431,3.0,1.8,5.3,1.0,5.6,7.0,78.0
"Cotton County, OK",0.379354,2.4,10.3,0.3,0.2,5.4,6.6,77.6
"Walton County, GA",0.379201,16.6,0.4,1.4,0.1,1.5,3.8,76.9
"Albemarle County, VA",0.379061,9.8,0.4,4.7,0.1,2.4,5.7,77.8
"Calhoun County, FL",0.379056,13.4,1.3,0.7,0.2,2.1,5.7,77.4
"Forsyth County, GA",0.378991,3.3,0.5,8.2,0.1,1.5,9.6,77.7
"Grant Parish, LA",0.378466,15.7,1.1,0.3,0.0,1.7,4.5,77.1
"Caroline County, MD",0.377305,14.5,0.8,1.0,0.4,1.9,6.0,77.3
"Mahoning County, OH",0.377204,15.9,0.3,0.8,0.0,2.0,5.1,77.1
"Kit Carson County, CO",0.376986,2.3,1.1,0.8,0.2,1.4,18.8,76.6
"Broomfield County, CO",0.375931,1.5,0.9,5.9,0.1,2.6,12.6,77.7
"Canadian County, OK",0.374837,2.8,5.0,3.2,0.1,4.1,7.8,78.3
"Limestone County, AL",0.374819,13.2,0.8,1.4,0.2,2.0,5.8,77.7
"Cooke County, TX",0.374545,3.2,1.3,1.0,0.0,1.7,16.7,77.2
"Tippah County, MS",0.374404,16.4,0.4,0.2,0.0,1.4,5.0,77.2
"Cimarron County, OK",0.374213,0.3,1.2,0.3,0.0,2.0,20.0,76.5
"Cass County, IL",0.374173,4.4,0.8,0.5,0.1,1.1,18.4,76.8
"Nye County, NV",0.374067,2.6,1.9,1.7,0.6,3.1,14.1,77.7
"Washington County, FL",0.37352,15.5,1.4,0.6,0.1,2.1,3.4,77.5
"McKenzie County, ND",0.373199,0.7,16.3,0.5,0.1,1.8,4.8,77.3
"Siskiyou County, CA",0.373131,1.5,4.7,1.3,0.3,4.9,11.6,78.0
"Logan County, CO",0.373074,4.2,1.5,0.8,0.1,1.4,16.0,77.4
"Galax city, VA",0.373039,6.7,0.3,0.6,0.3,1.9,14.1,77.6
"Rolette County, ND",0.372384,0.3,76.6,0.1,0.0,2.5,1.5,20.0
"Modoc County, CA",0.372207,1.1,5.1,1.1,0.3,3.4,14.7,77.6
"Bedford County, TN",0.372174,8.2,1.0,1.2,0.2,1.8,11.7,77.9
"Appomattox County, VA",0.371659,19.9,0.3,0.3,0.0,1.7,1.2,76.7
"Bay County, FL",0.371522,11.2,0.8,2.3,0.1,3.0,5.4,78.2
"Harford County, MD",0.371149,13.2,0.3,2.9,0.1,2.4,4.0,78.0
"Goochland County, VA",0.371117,17.9,0.3,1.3,0.0,1.4,2.2,77.2
"Macon County, IL",0.37081,17.0,0.2,1.2,0.0,2.5,2.1,77.4
"Pontotoc County, MS",0.370784,15.2,0.6,0.3,0.1,1.3,6.1,77.6
"Montrose County, CO",0.370753,0.7,1.9,0.8,0.1,2.0,20.4,76.6
"Weber County, UT",0.369438,1.6,1.2,1.5,0.3,2.4,17.4,77.4
"Waynesboro city, VA",0.369373,11.7,0.4,0.9,0.0,3.1,6.6,78.2
"Pawnee County, OK",0.369299,0.8,12.8,0.4,0.0,6.0,2.6,78.1
"Somervell County, TX",0.368242,1.2,1.3,0.9,0.1,2.1,19.1,77.1
"Onondaga County, NY",0.368073,11.5,0.9,3.4,0.0,2.8,4.5,78.4
"DeKalb County, IL",0.367977,7.1,0.4,2.8,0.1,1.7,10.6,78.4
"Stone County, MS",0.367921,19.7,0.6,0.3,0.0,1.0,1.5,77.0
"Pasco County, FL",0.36786,5.3,0.4,2.3,0.1,1.9,13.0,78.2
"San Miguel County, NM",0.367848,1.7,2.9,1.1,0.2,1.9,77.0,19.4
"Harris County, GA",0.367701,17.0,0.4,0.9,0.1,1.5,3.0,77.6
"Sawyer County, WI",0.367073,0.6,17.1,0.3,0.0,3.2,2.1,77.6
"Petersburg city, VA",0.366982,77.8,0.4,1.0,0.2,2.2,4.3,15.9
PENNSYLVANIA,0.366855,11.5,0.3,3.1,0.1,1.8,6.3,78.4
"Kingfisher County, OK",0.366411,1.5,3.9,0.4,0.0,2.9,14.5,78.1
"Blanco County, TX",0.366097,1.3,1.7,0.5,0.1,1.3,19.7,77.1
"Tompkins County, NY",0.365934,4.4,0.4,9.8,0.1,3.2,4.6,78.7
"Nantucket County, MA",0.365845,7.9,0.2,1.4,0.0,1.7,11.3,78.4
"Louisa County, VA",0.365537,17.2,0.4,0.5,0.0,2.2,2.5,77.7
"Norfolk County, MA",0.364996,6.7,0.2,9.7,0.0,1.7,3.8,78.7
"Jackson County, AR",0.364975,17.4,0.7,0.4,0.1,1.5,2.7,77.7
"Archuleta County, CO",0.364597,0.4,3.1,1.0,0.1,2.4,18.2,77.5
"Anderson County, SC",0.36453,16.5,0.3,0.9,0.0,1.5,3.3,77.9
"Gibson County, TN",0.364387,18.5,0.3,0.3,0.0,1.3,2.4,77.5
"Tippecanoe County, IN",0.364027,4.7,0.4,6.8,0.1,1.9,7.9,78.9
"Frio County, TX",0.363501,3.9,0.8,2.3,0.0,0.8,78.0,16.1
"Gillespie County, TX",0.363,0.6,1.2,0.5,0.1,0.8,21.3,76.9
"Phillips County, CO",0.362141,1.0,0.7,0.6,0.1,1.2,20.0,77.3
"Coleman County, TX",0.361963,2.8,1.3,0.5,0.0,1.7,17.3,77.9
"Yuma County, CO",0.361809,0.3,0.9,0.4,0.2,0.8,21.6,76.9
"Middlesex County, VA",0.361586,18.0,0.4,0.5,0.0,1.7,2.0,77.8
"Yamhill County, OR",0.361561,1.0,2.0,1.7,0.2,2.9,15.4,78.3
"Kalamazoo County, MI",0.361184,11.2,0.5,2.6,0.1,3.2,4.5,78.9
"Talbot County, MD",0.360954,13.2,0.3,1.4,0.1,1.6,5.8,78.6
"Shelby County, AL",0.360905,11.8,0.4,2.1,0.1,1.3,6.0,78.8
"Franklin County, FL",0.360868,14.2,0.7,0.6,0.1,1.6,4.9,78.5
"Boulder County, CO",0.360671,1.1,0.9,4.4,0.1,2.5,13.7,78.6
"Mohave County, AZ",0.359677,1.3,2.9,1.2,0.2,2.2,15.5,78.4
"Habersham County, GA",0.359584,4.0,1.1,2.5,0.3,1.4,13.6,78.7
"Trinity County, TX",0.359469,9.6,0.7,0.5,0.0,1.6,9.2,78.9
"Kent County, MD",0.358706,15.1,0.3,1.1,0.0,1.7,4.3,78.5
"Vermilion Parish, LA",0.358659,14.8,0.4,2.3,0.0,1.4,3.0,78.6
"Craighead County, AR",0.358512,14.0,0.5,1.1,0.1,1.6,4.6,78.7
"Perry County, MS",0.358358,19.8,0.4,0.2,0.0,1.1,1.1,77.6
"Etowah County, AL",0.35812,15.5,0.6,0.8,0.3,1.5,3.6,78.5
"Bartow County, GA",0.357673,10.8,0.6,0.9,0.1,1.9,7.8,79.0
"Carbon County, WY",0.357664,1.6,1.7,0.9,0.1,1.6,17.3,78.2
"Stonewall County, TX",0.357273,4.1,1.4,0.8,0.0,1.5,15.6,78.5
"Blaine County, ID",0.356945,0.3,1.4,1.0,0.2,1.3,20.1,77.6
"Laramie County, WY",0.356937,3.6,1.2,1.3,0.2,2.5,14.1,78.8
"Jack County, TX",0.35684,4.2,1.0,0.5,0.1,0.9,15.8,78.5
"Summit County, OH",0.355959,14.7,0.2,2.6,0.0,2.2,1.8,78.8
"Acadia Parish, LA",0.355956,18.3,0.3,0.4,0.0,1.3,2.0,78.1
"Northampton County, PA",0.355754,6.1,0.3,2.8,0.1,1.9,11.7,79.1
"El Dorado County, CA",0.355694,0.9,1.3,3.9,0.2,3.5,12.5,79.1
"Webster County, MS",0.355644,19.7,0.2,0.3,0.0,0.9,1.3,77.8
"McDonald County, MO",0.355383,1.5,3.0,1.3,1.5,3.2,11.5,79.3
"Jefferson Davis Parish, LA",0.355321,17.1,0.7,0.3,0.0,1.8,2.0,78.4
"Calhoun County, MI",0.355249,11.1,0.7,1.9,0.1,3.1,4.7,79.3
"Martin County, FL",0.355081,5.9,1.1,1.2,0.2,1.3,13.0,79.0
"Fluvanna County, VA",0.355058,15.5,0.3,0.7,0.1,2.0,3.3,78.7
"Oldham County, TX",0.355049,3.7,0.9,1.0,0.0,1.6,14.9,78.8
"Luce County, MI",0.355,11.1,5.1,0.3,0.0,3.2,1.4,79.3
"Northwest Arctic Borough, AK",0.354752,0.7,79.1,0.8,0.2,6.0,1.5,12.5
"Franklin County, AL",0.354606,4.3,1.5,0.3,0.1,1.5,15.4,78.7
"Wakulla County, FL",0.354523,15.1,0.7,0.5,0.1,1.9,3.6,78.8
"Leavenworth County, KS",0.354433,9.8,0.9,1.3,0.2,2.8,6.7,79.4
"Edwards County, KS",0.353978,1.7,1.7,0.4,0.0,1.2,20.0,77.8
"Gordon County, GA",0.353858,4.4,0.6,1.1,0.4,1.4,14.6,78.9
"Hudspeth County, TX",0.353713,1.6,1.4,0.8,0.0,1.1,77.9,19.7
"Haines Borough, AK",0.35363,0.5,9.8,1.0,0.0,7.4,2.7,79.4
"Wise County, TX",0.35324,1.5,1.0,0.5,0.1,1.4,18.2,78.3
"Harper County, OK",0.352148,0.2,1.5,0.2,0.3,2.0,19.3,78.1
"Polk County, IA",0.352144,6.5,0.4,3.9,0.1,2.2,8.0,79.7
"Jefferson County, OK",0.352027,0.9,6.7,0.4,0.1,4.3,8.9,79.6
"Calvert County, MD",0.351636,13.2,0.4,1.6,0.1,2.7,3.3,79.3
"Lincoln County, CO",0.351343,5.5,1.1,0.9,0.1,1.4,12.8,79.3
"Colbert County, AL",0.351218,16.4,0.6,0.5,0.0,1.6,2.5,78.8
"Worcester County, MA",0.351179,5.1,0.4,4.5,0.1,1.9,10.1,79.6
"Union County, MS",0.351069,15.0,0.3,0.3,0.1,1.4,4.6,79.0
"Henderson County, TX",0.350927,6.6,0.8,0.6,0.1,1.6,11.8,79.4
"Tyler County, TX",0.35039,11.6,0.8,0.3,0.0,1.3,7.4,79.4
"Jefferson County, CO",0.350192,1.3,1.2,2.8,0.1,2.3,15.0,79.1
"McClain County, OK",0.350166,0.9,6.7,0.5,0.1,5.3,7.5,79.8
"Gilmer County, WV",0.349206,12.8,0.9,0.6,0.1,1.6,6.0,79.4
"Fannin County, TX",0.349068,7.0,1.2,0.6,0.1,2.1,10.1,79.7
"Orange County, VA",0.348652,13.0,0.4,1.0,0.1,2.5,4.1,79.5
"Lorain County, OH",0.348259,8.8,0.4,1.1,0.1,2.7,8.9,79.7
"Beauregard Parish, LA",0.348191,13.3,1.2,0.7,0.1,2.6,3.5,79.5
"Caldwell Parish, LA",0.347391,17.1,0.3,0.3,0.0,1.0,2.7,78.9
"Vermilion County, IL",0.347296,13.4,0.3,0.8,0.0,2.1,4.7,79.5
"Polk County, OR",0.347223,0.8,2.5,2.0,0.4,3.4,13.0,79.6
"St. Tammany Parish, LA",0.347198,12.0,0.6,1.4,0.1,1.6,5.2,79.7
"Fremont County, CO",0.346081,4.0,2.0,0.6,0.1,1.7,12.8,79.7
"Klamath County, OR",0.345935,0.8,4.6,1.0,0.2,3.9,11.6,79.8
"La Plata County, CO",0.345799,0.5,6.6,0.7,0.1,2.3,12.5,79.6
UTAH,0.345283,1.3,1.5,2.3,1.0,2.3,13.4,79.7
"Moody County, SD",0.344864,1.0,13.5,1.2,0.0,2.7,2.7,79.7
"Montgomery County, KS",0.344734,5.7,3.5,0.7,0.2,4.7,6.1,80.3
"Gloucester County, NJ",0.344602,10.6,0.2,2.9,0.1,2.0,5.4,80.0
"Loving County, TX",0.344414,0.0,3.2,0.0,0.0,0.0,17.9,78.9
"Muscatine County, IA",0.343745,2.1,0.6,1.1,0.0,1.3,16.8,79.2
"Grays Harbor County, WA",0.343143,1.3,5.3,1.5,0.3,3.5,9.6,80.2
"Douglas County, KS",0.34308,4.5,2.8,4.2,0.1,3.6,5.5,80.5
"Guadalupe County, NM",0.342979,2.1,2.7,1.2,0.0,1.7,79.3,16.3
"Franklin County, TX",0.34282,4.5,1.1,0.7,0.0,1.5,13.4,79.8
"King County, TX",0.342505,0.0,1.4,0.0,0.0,3.5,16.5,79.3
"Allegheny County, PA",0.342197,13.3,0.2,3.2,0.0,1.9,1.8,79.9
"Whatcom County, WA",0.342034,1.2,3.2,4.1,0.3,3.6,8.6,80.4
"Maury County, TN",0.34174,12.3,0.4,0.7,0.1,1.9,5.2,80.0
"Boone County, MO",0.341242,9.4,0.4,4.1,0.1,2.8,3.2,80.4
"Clark County, WA",0.340824,2.1,1.1,4.5,0.8,3.8,8.4,80.5
"McLean County, IL",0.34064,7.7,0.3,5.2,0.0,2.2,4.7,80.5
"Washington County, ID",0.340524,0.4,1.4,1.1,0.2,1.9,17.3,79.3
"Sweetwater County, WY",0.340296,1.7,1.2,0.9,0.2,1.7,15.9,79.6
"Young County, TX",0.340236,1.7,1.2,0.6,0.1,1.3,17.4,79.3
"Amador County, CA",0.340126,2.1,2.1,1.3,0.2,3.3,12.7,80.1
"Payette County, ID",0.340081,0.4,1.6,1.0,0.1,2.5,16.4,79.5
"New Kent County, VA",0.33995,13.7,1.0,1.1,0.0,2.2,2.4,80.0
"Pennington County, SD",0.339937,1.7,9.9,1.2,0.1,3.6,4.6,80.4
"Camden County, NC",0.33988,13.0,0.5,2.2,0.1,2.2,2.5,80.1
"Bosque County, TX",0.339355,2.0,0.9,0.5,0.0,1.5,16.7,79.5
"Levy County, FL",0.339323,9.7,0.6,0.7,0.1,1.7,7.8,80.3
"Sullivan County, MO",0.339229,1.4,0.9,0.4,0.3,0.9,18.2,79.2
"Worcester County, MD",0.339116,13.9,0.4,1.3,0.0,1.7,3.3,80.0
"Cherokee County, GA",0.338539,6.4,0.5,1.9,0.1,1.9,10.1,80.4
"Clay County, AL",0.337811,14.4,0.6,0.2,0.0,1.8,3.3,80.0
"Whitman County, WA",0.337808,2.1,0.7,7.8,0.3,3.8,5.4,80.7
MISSOURI,0.337624,11.7,0.5,1.8,0.1,2.0,3.9,80.4
"Randolph County, NC",0.337266,6.3,1.1,1.1,0.1,1.5,10.9,80.4
"Buffalo County, SD",0.337185,0.5,79.4,0.0,0.0,2.0,2.5,17.7
"Effingham County, GA",0.335964,13.9,0.4,0.9,0.1,1.8,3.3,80.2
"Ulster County, NY",0.335713,6.8,0.4,1.9,0.0,2.5,9.5,80.6
"West Carroll Parish, LA",0.3354,15.9,0.6,0.3,0.0,1.2,2.7,79.9
INDIANA,0.334928,9.5,0.4,1.9,0.1,1.8,6.4,80.7
"Warren County, KY",0.334798,9.2,0.3,3.1,0.2,2.0,5.0,80.8
OHIO,0.334424,12.5,0.3,1.9,0.0,2.0,3.4,80.5
"Eastland County, TX",0.334216,2.3,1.2,0.5,0.1,1.1,15.8,80.0
"Bandera County, TX",0.334101,0.7,1.2,0.5,0.0,1.4,17.4,79.7
"Jim Wells County, TX",0.33402,0.9,1.0,0.6,0.1,0.7,79.3,19.2
"LaPorte County, IN",0.333887,11.2,0.4,0.6,0.0,2.0,5.9,80.6
"Johnson County, KS",0.333362,4.9,0.4,4.6,0.0,2.3,7.4,81.0
"Cowley County, KS",0.332519,2.9,2.4,1.7,0.2,3.3,10.1,80.9
"Shelby County, KY",0.332459,7.8,0.5,0.8,0.2,2.0,9.0,80.8
"Dakota County, MN",0.332227,5.4,0.5,4.7,0.1,2.6,6.5,81.1
"Kent County, TX",0.332214,1.2,1.2,0.0,0.1,1.4,17.0,79.9
"Dane County, WI",0.332108,5.4,0.5,5.3,0.1,2.4,6.2,81.1
"Chilton County, AL",0.332047,10.3,0.5,0.4,0.2,1.1,7.7,80.7
"Matanuska-Susitna Borough, AK",0.331951,1.3,6.0,1.3,0.3,6.6,4.5,81.1
"Saline County, KS",0.331579,3.5,0.7,2.3,0.1,3.0,10.6,80.9
"Louisa County, IA",0.331527,0.9,0.5,2.0,0.1,1.1,16.2,80.1
"Hernando County, FL",0.331253,5.5,0.4,1.4,0.1,1.8,11.1,80.8
"Island County, WA",0.331073,2.7,1.0,4.8,0.5,4.4,6.7,81.2
"Dyer County, TN",0.33106,14.6,0.4,0.6,0.0,1.6,3.0,80.4
"Chester County, PA",0.330959,6.4,0.3,4.5,0.1,1.7,7.0,81.1
NEBRASKA,0.330784,4.8,1.3,2.1,0.1,2.0,9.9,81.0
"Upshur County, TX",0.328709,8.7,1.0,0.5,0.0,2.0,7.4,81.1
"Johnson County, NE",0.328323,5.7,1.3,1.6,0.0,0.9,10.1,81.1
"Woodward County, OK",0.327965,2.0,3.4,0.8,0.1,2.5,11.7,81.0
"Saline County, MO",0.327836,5.5,0.8,0.7,0.9,2.4,9.5,81.2
"Delta County, TX",0.327473,7.5,1.8,0.8,0.0,2.8,6.9,81.3
"DeKalb County, AL",0.327182,2.0,2.1,0.4,0.8,2.2,14.2,80.7
"Stephens County, OK",0.327108,2.1,5.5,0.6,0.1,4.8,6.7,81.4
"Fauquier County, VA",0.326766,8.2,0.5,1.5,0.1,2.3,6.9,81.3
"New Madrid County, MO",0.326747,15.7,0.3,0.5,0.0,1.7,1.6,80.5
"Val Verde County, TX",0.326671,1.8,0.8,0.7,0.2,1.0,80.2,17.2
"Covington city, VA",0.326161,12.7,0.3,0.8,0.0,2.4,3.1,81.0
"Meade County, KS",0.325889,0.9,1.0,0.4,0.0,1.7,16.0,80.5
"Campbell County, VA",0.325602,14.4,0.3,1.0,0.0,1.7,2.0,80.8
"Shasta County, CA",0.32551,1.0,3.1,2.8,0.2,4.2,9.1,81.4
"Teton County, WY",0.32523,1.5,1.0,1.3,0.1,1.5,15.1,80.7
"Johnson County, IA",0.324639,5.5,0.3,5.5,0.1,2.3,5.4,81.6
"Mills County, TX",0.32426,0.9,1.0,0.2,0.0,1.1,17.5,80.3
"Davidson County, NC",0.323943,9.3,0.8,1.4,0.0,1.4,6.6,81.4
"Kenai Peninsula Borough, AK",0.32394,0.9,7.4,1.3,0.3,5.5,3.8,81.6
"Forest County, WI",0.323928,1.0,14.3,0.2,0.1,2.6,1.9,80.9
"Brunswick County, NC",0.323555,11.3,0.8,0.7,0.1,1.7,4.8,81.3
"Greene County, AL",0.323523,80.2,0.2,0.3,0.0,0.6,1.0,18.2
"Motley County, TX",0.323368,2.1,1.5,0.8,0.0,0.2,15.7,80.7
"Faulkner County, AR",0.322705,11.2,0.7,1.2,0.1,1.9,4.0,81.4
"Franklin County, NY",0.32261,6.7,7.6,0.6,0.0,1.2,3.3,81.6
"Pondera County, MT",0.322565,0.3,14.8,0.2,0.0,2.6,1.9,80.9
"Dunklin County, MO",0.32243,10.4,0.4,0.3,0.0,1.7,6.2,81.4
"El Paso County, TX",0.322012,4.0,1.0,1.3,0.2,1.3,81.1,13.5
"Jackson County, NC",0.32178,2.2,9.4,0.9,0.1,1.9,5.1,81.6
"Eureka County, NV",0.321336,1.1,2.8,0.7,0.1,2.6,13.3,81.2
"Macomb County, MI",0.320937,10.5,0.3,3.4,0.0,2.1,2.4,81.6
MINNESOTA,0.320766,5.7,1.3,4.5,0.1,2.3,5.0,81.9
"Beadle County, SD",0.320296,1.7,1.3,5.8,0.2,1.7,9.0,81.7
"Scott County, IA",0.320234,7.4,0.4,2.4,0.1,2.7,6.2,81.8
"Washington County, MD",0.320153,10.7,0.3,1.6,0.1,2.6,4.0,81.6
"Walworth County, SD",0.319845,0.4,14.0,0.3,0.0,3.1,1.5,81.2
"Tuolumne County, CA",0.319478,2.1,2.2,1.3,0.2,3.2,11.2,81.6
"Douglas County, NV",0.318486,0.9,2.2,1.8,0.2,2.9,11.8,81.6
"Yavapai County, AZ",0.318384,0.8,2.1,1.0,0.1,2.1,14.0,81.3
"Putnam County, NY",0.318249,3.0,0.3,2.2,0.1,1.6,12.6,81.5
"Mariposa County, CA",0.318022,1.1,3.3,1.4,0.2,3.8,10.0,81.8
